title,artist,album,cover,file
Segunda Opção,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,segunda_opcao.mp3
O Telefone Tocou,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,o_telefone_tocou.mp3
Babá de Confusão,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,baba_de_confusao.mp3
Encontro Com o Passado,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,encontro_com_o_passado.mp3
Você Vai Lembrar,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,voce_vai_lembrar.mp3
Chegou ao Fim,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,chegou_ao_fim.mp3
Chorar Todo Dia,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,chorar_todo_dia.mp3
Ligando os Fatos,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,ligando_os_fatos.mp3
Vai Embora,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,vai_embora.mp3
Perto de Mim,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,perto_de_mim.mp3
Trocaria Tudo,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,trocaria_tudo.mp3
Planos Impossíveis,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,planos_impossiveis.mp3
Quando Amanhecer,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,quando_amanhecer.mp3
Me Dói,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,me_doi.mp3
Uma Noite Num Motel,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,uma_noite_num_motel.mp3
Pagando pra Ver,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,pagando_pra_ver.mp3
15 Minutos,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,15_minutos.mp3
Tenho Medo,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,tenho_medo.mp3
Pessoa Errada,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,pessoa_errada.mp3
Destruiu Nosso Amor,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,destruiu_nosso_amor.mp3
Mesa de Bar,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,mesa_de_bar.mp3
Vê Se Pode,Conde do Forró,Maltratando os Corações,maltratando_os_coracoes.jpeg,ve_se_pode.mp3
